Ticket,Symbol,Type,Volume,OpenPrice,ClosePrice,OpenTime,CloseTime,Profit,Commission,Swap
111004210,EURUSD,BUY,1,1.16728,1.16728,2025-10-20T07:47:01.000Z,2025-10-20T07:47:01.000Z,-143,-2.92,0
111056160,EURUSD,SELL,1,1.16449,1.16449,2025-10-20T14:40:58.000Z,2025-10-20T14:40:58.000Z,-140,-2.91,0
111164425,XAUUSD,SELL,0.5,4358.4,4358.4,2025-10-21T02:40:35.000Z,2025-10-21T02:40:35.000Z,-224,-5.45,0
111169840,XAUUSD,BUY,0.5,4366.61,4366.61,2025-10-21T03:22:15.000Z,2025-10-21T03:22:15.000Z,-230,-5.46,0
111202052,EURUSD,SELL,1,1.16305,1.16305,2025-10-21T08:24:05.000Z,2025-10-21T08:24:05.000Z,-144,-2.91,0
111370937,USDJPY,SELL,1,151.908,151.908,2025-10-21T22:00:00.000Z,2025-10-21T22:00:00.000Z,379.18,-2.5,0
111376955,EURUSD,BUY,1,1.1601,1.1601,2025-10-21T23:00:00.000Z,2025-10-21T23:00:00.000Z,434,-2.9,0
111387834,XAUUSD,SELL,0.5,4120.47,4120.47,2025-10-22T02:46:50.000Z,2025-10-22T02:46:50.000Z,-205.5,-5.15,0
111412998,XAUUSD,BUY,0.5,4128.95,4128.95,2025-10-22T06:34:49.000Z,2025-10-22T06:34:49.000Z,-254,-5.16,0
111419922,EURUSD,BUY,1,1.16138,1.16138,2025-10-22T08:13:47.000Z,2025-10-22T08:13:47.000Z,-139,-2.9,0
111463910,EURUSD,SELL,1,1.15864,1.15864,2025-10-22T13:26:08.000Z,2025-10-22T13:26:08.000Z,-141,-2.9,0
111602417,XAUUSD,BUY,0.5,4094.35,4094.35,2025-10-23T02:33:56.000Z,2025-10-23T02:33:56.000Z,-216.5,-5.12,0
111603061,XAUUSD,SELL,0.5,4085.74,4085.74,2025-10-23T02:47:02.000Z,2025-10-23T02:47:02.000Z,-261.5,-5.11,0
111617171,EURUSD,SELL,1,1.15955,1.15955,2025-10-23T05:40:54.000Z,2025-10-23T05:40:54.000Z,-140,-2.9,0
111757659,USDJPY,SELL,1,152.53,152.53,2025-10-23T22:00:00.000Z,2025-10-23T22:00:00.000Z,18.36,-2.5,0
111763164,EURUSD,BUY,1,1.16167,1.16167,2025-10-23T23:00:00.000Z,2025-10-23T23:00:00.000Z,-76,-2.9,0
111778884,XAUUSD,BUY,0.5,4110.99,4110.99,2025-10-24T02:37:42.000Z,2025-10-24T02:37:42.000Z,-232,-5.14,0
111806586,XAUUSD,SELL,0.5,4102.68,4102.68,2025-10-24T07:37:11.000Z,2025-10-24T07:37:11.000Z,-224.5,-5.13,0
111811759,EURUSD,SELL,1,1.16033,1.16033,2025-10-24T08:27:57.000Z,2025-10-24T08:27:57.000Z,-140,-2.9,0
111872155,EURUSD,BUY,1,1.16491,1.16491,2025-10-24T15:30:04.000Z,2025-10-24T15:30:04.000Z,-323,-2.91,0
